Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Afghanistan,22 Apr 2016 ,15 Feb 2017 
Albania,22 Apr 2016 ,21 Sep 2016 
Algeria,22 Apr 2016 ,20 Oct 2016 
Andorra,22 Apr 2016 ,24 Mar 2017 
Angola,22 Apr 2016 ,
Antigua and Barbuda,22 Apr 2016 ,21 Sep 2016 
Argentina,22 Apr 2016 ,21 Sep 2016 
Armenia,20 Sep 2016 ,23 Mar 2017 
Australia,22 Apr 2016 , 9 Nov 2016 
Austria,22 Apr 2016 , 5 Oct 2016 
Azerbaijan,22 Apr 2016 , 9 Jan 2017 
Bahamas,22 Apr 2016 ,22 Aug 2016 
Bahrain,22 Apr 2016 ,23 Dec 2016 
Bangladesh,22 Apr 2016 ,21 Sep 2016 
Barbados,22 Apr 2016 ,22 Apr 2016 
Belarus,22 Apr 2016 ,21 Sep 2016 A
Belgium,22 Apr 2016 , 6 Apr 2017 
Belize,22 Apr 2016 ,22 Apr 2016 
Benin,22 Apr 2016 ,31 Oct 2016 
Bhutan,22 Apr 2016 ,19 Sep 2017 
Bolivia (Plurinational State of),22 Apr 2016 , 5 Oct 2016 
Bosnia and Herzegovina,22 Apr 2016 ,16 Mar 2017 
Botswana,22 Apr 2016 ,11 Nov 2016 
Brazil,22 Apr 2016 ,21 Sep 2016 
Brunei Darussalam,22 Apr 2016 ,21 Sep 2016 
Bulgaria,22 Apr 2016 ,29 Nov 2016 
Burkina Faso,22 Apr 2016 ,11 Nov 2016 
Burundi,22 Apr 2016 ,
Cabo Verde,22 Apr 2016 ,21 Sep 2017 
Cambodia,22 Apr 2016 , 6 Feb 2017 
Cameroon,22 Apr 2016 ,29 Jul 2016 
Canada,22 Apr 2016 , 5 Oct 2016 
Central African Republic,22 Apr 2016 ,11 Oct 2016 
Chad,22 Apr 2016 ,12 Jan 2017 
Chile,20 Sep 2016 ,10 Feb 2017 
China,22 Apr 2016 , 3 Sep 2016 
Colombia,22 Apr 2016 ,
Comoros,22 Apr 2016 ,23 Nov 2016 
Congo,22 Apr 2016 ,21 Apr 2017 
Cook Islands,24 Jun 2016 , 1 Sep 2016 
Costa Rica,22 Apr 2016 ,13 Oct 2016 
Côte d'Ivoire,22 Apr 2016 ,25 Oct 2016 
Croatia,22 Apr 2016 ,24 May 2017 
Cuba,22 Apr 2016 ,28 Dec 2016 
Cyprus,22 Apr 2016 , 4 Jan 2017 
Czech Republic,22 Apr 2016 , 5 Oct 2017 
Democratic People's Republic of Korea,22 Apr 2016 , 1 Aug 2016 
Democratic Republic of the Congo,22 Apr 2016 ,
Denmark,22 Apr 2016 , 1 Nov 2016 AA
Djibouti,22 Apr 2016 ,11 Nov 2016 
Dominica,22 Apr 2016 ,21 Sep 2016 
Dominican Republic,22 Apr 2016 ,21 Sep 2017 
Ecuador,26 Jul 2016 ,20 Sep 2017 
Egypt,22 Apr 2016 ,29 Jun 2017 
El Salvador,22 Apr 2016 ,27 Mar 2017 
Equatorial Guinea,22 Apr 2016 ,
Eritrea,22 Apr 2016 ,
Estonia,22 Apr 2016 , 4 Nov 2016 
Ethiopia,22 Apr 2016 , 9 Mar 2017 
European Union,22 Apr 2016 , 5 Oct 2016 
Fiji,22 Apr 2016 ,22 Apr 2016 
Finland,22 Apr 2016 ,14 Nov 2016 
France,22 Apr 2016 , 5 Oct 2016 
Gabon,22 Apr 2016 , 2 Nov 2016 
Gambia,26 Apr 2016 , 7 Nov 2016 
Georgia,22 Apr 2016 , 8 May 2017 AA
Germany,22 Apr 2016 , 5 Oct 2016 
Ghana,22 Apr 2016 ,21 Sep 2016 
Greece,22 Apr 2016 ,14 Oct 2016 
Grenada,22 Apr 2016 ,22 Apr 2016 
Guatemala,22 Apr 2016 ,25 Jan 2017 
Guinea,22 Apr 2016 ,21 Sep 2016 
Guinea-Bissau,22 Apr 2016 ,
Guyana,22 Apr 2016 ,20 May 2016 
Haiti,22 Apr 2016 ,31 Jul 2017 
Honduras,22 Apr 2016 ,21 Sep 2016 
Hungary,22 Apr 2016 , 5 Oct 2016 
Iceland,22 Apr 2016 ,21 Sep 2016 A
India,22 Apr 2016 , 2 Oct 2016 
Indonesia,22 Apr 2016 ,31 Oct 2016 
Iran (Islamic Republic of),22 Apr 2016 ,
Iraq, 8 Dec 2016 ,
Ireland,22 Apr 2016 , 4 Nov 2016 
Israel,22 Apr 2016 ,22 Nov 2016 
Italy,22 Apr 2016 ,11 Nov 2016 
Jamaica,22 Apr 2016 ,10 Apr 2017 
Japan,22 Apr 2016 , 8 Nov 2016 A
Jordan,22 Apr 2016 , 4 Nov 2016 
Kazakhstan, 2 Aug 2016 , 6 Dec 2016 
Kenya,22 Apr 2016 ,28 Dec 2016 
Kiribati,22 Apr 2016 ,21 Sep 2016 
Kuwait,22 Apr 2016 ,
Kyrgyzstan,21 Sep 2016 ,
Lao People's Democratic Republic,22 Apr 2016 , 7 Sep 2016 
Latvia,22 Apr 2016 ,16 Mar 2017 
Lebanon,22 Apr 2016 ,
Lesotho,22 Apr 2016 ,20 Jan 2017 
Liberia,22 Apr 2016 ,
Libya,22 Apr 2016 ,
Liechtenstein,22 Apr 2016 ,20 Sep 2017 
Lithuania,22 Apr 2016 , 2 Feb 2017 
Luxembourg,22 Apr 2016 , 4 Nov 2016 
Madagascar,22 Apr 2016 ,21 Sep 2016 
Malawi,20 Sep 2016 ,29 Jun 2017 
Malaysia,22 Apr 2016 ,16 Nov 2016 
Maldives,22 Apr 2016 ,22 Apr 2016 
Mali,22 Apr 2016 ,23 Sep 2016 
Malta,22 Apr 2016 , 5 Oct 2016 
Marshall Islands,22 Apr 2016 ,22 Apr 2016 
Mauritania,22 Apr 2016 ,27 Feb 2017 
Mauritius,22 Apr 2016 ,22 Apr 2016 
Mexico,22 Apr 2016 ,21 Sep 2016 
Micronesia (Federated States of),22 Apr 2016 ,15 Sep 2016 
Monaco,22 Apr 2016 ,24 Oct 2016 
Mongolia,22 Apr 2016 ,21 Sep 2016 
Montenegro,22 Apr 2016 ,
Morocco,22 Apr 2016 ,21 Sep 2016 
Mozambique,22 Apr 2016 ,
Myanmar,22 Apr 2016 ,19 Sep 2017 
Namibia,22 Apr 2016 ,21 Sep 2016 
Nauru,22 Apr 2016 ,22 Apr 2016 
Nepal,22 Apr 2016 , 5 Oct 2016 
Netherlands,22 Apr 2016 ,28 Jul 2017 A
New Zealand,22 Apr 2016 , 4 Oct 2016 
Nicaragua,,23 Oct 2017 a
Niger,22 Apr 2016 ,21 Sep 2016 
Nigeria,22 Sep 2016 ,16 May 2017 
Niue,28 Oct 2016 ,28 Oct 2016 
Norway,22 Apr 2016 ,20 Jun 2016 
Oman,22 Apr 2016 ,
Pakistan,22 Apr 2016 ,10 Nov 2016 
Palau,22 Apr 2016 ,22 Apr 2016 
Panama,22 Apr 2016 ,21 Sep 2016 
Papua New Guinea,22 Apr 2016 ,21 Sep 2016 
Paraguay,22 Apr 2016 ,14 Oct 2016 
Peru,22 Apr 2016 ,25 Jul 2016 
Philippines,22 Apr 2016 ,23 Mar 2017 
Poland,22 Apr 2016 , 7 Oct 2016 
Portugal,22 Apr 2016 , 5 Oct 2016 
Qatar,22 Apr 2016 ,23 Jun 2017 
Republic of Korea,22 Apr 2016 , 3 Nov 2016 
Republic of Moldova,21 Sep 2016 ,20 Jun 2017 
Romania,22 Apr 2016 , 1 Jun 2017 
Russian Federation,22 Apr 2016 ,
Rwanda,22 Apr 2016 , 6 Oct 2016 
Samoa,22 Apr 2016 ,22 Apr 2016 
San Marino,22 Apr 2016 ,
Sao Tome and Principe,22 Apr 2016 , 2 Nov 2016 
Saudi Arabia, 3 Nov 2016 , 3 Nov 2016 
Senegal,22 Apr 2016 ,21 Sep 2016 
Serbia,22 Apr 2016 ,25 Jul 2017 
Seychelles,25 Apr 2016 ,29 Apr 2016 
Sierra Leone,22 Sep 2016 , 1 Nov 2016 
Singapore,22 Apr 2016 ,21 Sep 2016 
Slovakia,22 Apr 2016 , 5 Oct 2016 
Slovenia,22 Apr 2016 ,16 Dec 2016 
Solomon Islands,22 Apr 2016 ,21 Sep 2016 
Somalia,22 Apr 2016 ,22 Apr 2016 
South Africa,22 Apr 2016 , 1 Nov 2016 
South Sudan,22 Apr 2016 ,
Spain,22 Apr 2016 ,12 Jan 2017 
Sri Lanka,22 Apr 2016 ,21 Sep 2016 
St. Kitts and Nevis,22 Apr 2016 ,22 Apr 2016 
St. Lucia,22 Apr 2016 ,22 Apr 2016 
St. Vincent and the Grenadines,22 Apr 2016 ,29 Jun 2016 
State of Palestine,22 Apr 2016 ,22 Apr 2016 
Sudan,22 Apr 2016 , 2 Aug 2017 
Suriname,22 Apr 2016 ,
Swaziland,22 Apr 2016 ,21 Sep 2016 
Sweden,22 Apr 2016 ,13 Oct 2016 
Switzerland,22 Apr 2016 , 6 Oct 2017 
Syrian Arab Republic,,13 Nov 2017 a
Tajikistan,22 Apr 2016 ,22 Mar 2017 
Thailand,22 Apr 2016 ,21 Sep 2016 
The former Yugoslav Republic of Macedonia,22 Apr 2016 ,
Timor-Leste,22 Apr 2016 ,16 Aug 2017 
Togo,19 Sep 2016 ,28 Jun 2017 
Tonga,22 Apr 2016 ,21 Sep 2016 
Trinidad and Tobago,22 Apr 2016 ,
Tunisia,22 Apr 2016 ,10 Feb 2017 
Turkey,22 Apr 2016 ,
Turkmenistan,23 Sep 2016 ,20 Oct 2016 
Tuvalu,22 Apr 2016 ,22 Apr 2016 
Uganda,22 Apr 2016 ,21 Sep 2016 
Ukraine,22 Apr 2016 ,19 Sep 2016 
United Arab Emirates,22 Apr 2016 ,21 Sep 2016 A
United Kingdom,22 Apr 2016 ,18 Nov 2016 
United Republic of Tanzania,22 Apr 2016 ,
United States of America,22 Apr 2016 , 3 Sep 2016 A
Uruguay,22 Apr 2016 ,19 Oct 2016 
Uzbekistan,19 Apr 2017 ,
Vanuatu,22 Apr 2016 ,21 Sep 2016 
Venezuela (Bolivarian Republic of),22 Apr 2016 ,21 Jul 2017 
Viet Nam,22 Apr 2016 , 3 Nov 2016 AA
Yemen,23 Sep 2016 ,
Zambia,20 Sep 2016 , 9 Dec 2016 
Zimbabwe,22 Apr 2016 , 7 Aug 2017 
